size,codigo_distrito,parking,codigo_tipo,piscina,total_rooms,price
89.0,66,0,2,0,5,1300.0
75.0,69,0,2,0,3,790.0
90.0,62,1,2,0,5,900.0
82.0,12,1,2,0,4,700.0
120.0,69,0,2,0,4,1000.0
110.0,50,1,2,1,5,830.0
121.0,66,1,2,0,6,1100.0
70.0,70,0,2,0,4,750.0
90.0,38,1,2,1,5,675.0
65.0,36,0,2,0,4,600.0
138.0,70,0,2,0,6,1100.0
65.0,56,0,2,1,3,725.0
120.0,56,0,3,0,6,800.0
65.0,57,0,2,0,4,700.0
43.0,69,0,2,0,2,750.0
212.0,32,1,7,1,8,1600.0
75.0,58,1,7,0,3,800.0
90.0,9,1,6,0,7,700.0
248.0,39,1,7,1,6,1350.0
105.0,38,1,2,1,5,800.0
100.0,38,0,2,0,5,880.0
100.0,69,0,2,0,3,950.0
90.0,69,1,2,0,5,1450.0
90.0,62,0,2,0,3,850.0
105.0,57,0,2,0,5,1275.0
95.0,69,0,2,0,4,1500.0
45.0,69,0,2,0,3,850.0
78.0,66,0,2,0,4,1100.0
80.0,66,0,2,0,4,1050.0
80.0,66,0,2,0,4,1050.0
54.0,69,0,4,0,1,1100.0
90.0,69,0,5,0,3,1300.0
160.0,45,1,7,0,7,2150.0
250.0,21,1,7,1,8,2500.0
150.0,14,0,7,1,7,1100.0
85.0,66,0,2,0,3,950.0
105.0,47,1,5,1,5,890.0
125.0,62,0,2,0,6,1300.0
60.0,26,0,2,0,2,525.0
160.0,11,0,6,0,7,900.0
90.0,70,1,2,0,5,1500.0
100.0,66,0,2,0,5,990.0
91.0,69,0,4,0,5,1100.0
90.0,56,0,2,0,4,795.0
120.0,66,0,2,0,5,1400.0
50.0,64,1,2,1,2,650.0
50.0,64,1,2,1,2,650.0
50.0,64,1,2,1,2,650.0
55.0,31,0,2,1,2,530.0
86.0,66,0,2,0,5,1300.0
94.0,24,0,2,0,4,700.0
140.0,62,0,5,1,4,1450.0
60.0,69,1,2,0,2,900.0
215.0,21,1,7,1,8,2500.0
118.0,70,0,3,0,5,1825.0
70.0,56,1,2,1,3,770.0
93.0,69,0,2,0,4,970.0
131.0,31,0,3,0,7,900.0
242.0,69,1,3,0,8,2500.0
170.0,69,0,2,0,6,2900.0
138.0,59,0,3,0,7,1500.0
140.0,62,1,2,1,8,1550.0
75.0,69,0,2,0,3,900.0
153.0,69,0,2,0,5,1200.0
140.0,70,0,2,0,5,1580.0
77.0,66,1,2,0,4,1000.0
102.0,38,1,2,0,4,850.0
77.0,57,0,2,0,5,900.0
249.0,69,1,5,0,8,4950.0
145.0,32,1,3,1,6,1350.0
96.0,69,0,2,0,3,900.0
90.0,65,1,2,1,5,995.0
75.0,69,0,2,0,4,1200.0
101.0,66,0,2,0,4,1000.0
64.0,67,1,2,1,2,750.0
108.0,8,1,2,0,6,650.0
65.0,57,0,2,0,3,650.0
50.0,40,0,2,0,2,650.0
65.0,42,0,2,0,4,575.0
70.0,66,0,2,0,3,820.0
91.0,70,1,4,0,5,1500.0
120.0,66,0,2,0,5,1350.0
99.0,62,1,2,0,5,1265.0
54.0,57,0,2,0,3,640.0
93.0,38,1,2,1,3,725.0
65.0,40,0,2,0,2,650.0
108.0,66,0,2,0,2,650.0
85.0,18,0,2,0,4,650.0
60.0,60,0,2,0,4,850.0
130.0,66,0,2,0,5,1400.0
73.0,26,1,2,0,3,550.0
62.0,70,0,2,0,3,850.0
145.0,62,1,4,1,8,1550.0
65.0,62,0,2,0,3,750.0
70.0,60,0,2,0,4,850.0
180.0,30,0,2,0,4,800.0
120.0,66,0,2,0,5,1400.0
65.0,22,0,2,0,4,600.0
65.0,62,0,2,0,3,800.0
60.0,70,1,2,1,2,900.0
108.0,45,1,2,1,5,900.0
71.0,56,0,2,0,4,600.0
90.0,62,0,2,0,3,850.0
58.0,57,1,2,0,4,950.0
50.0,56,0,2,0,3,600.0
85.0,69,0,5,0,5,1250.0
110.0,60,0,2,0,4,900.0
88.0,62,1,2,1,5,1100.0
55.0,70,0,2,0,3,680.0
70.0,60,0,2,0,4,1100.0
104.0,18,0,7,0,5,700.0
95.0,48,0,2,0,4,850.0
50.0,70,0,2,0,3,675.0
220.0,32,1,5,1,6,2500.0
120.0,69,1,2,1,5,1600.0
60.0,69,0,2,0,2,825.0
381.0,14,0,5,0,15,4000.0
84.0,69,0,5,0,3,1350.0
100.0,57,0,2,0,6,1000.0
65.0,61,0,2,0,4,750.0
113.0,11,1,3,0,5,850.0
90.0,69,0,2,0,4,950.0
100.0,57,0,2,0,5,945.0
90.0,66,0,2,0,5,1300.0
47.0,67,0,2,0,2,650.0
120.0,10,0,7,0,5,700.0
105.0,66,0,5,0,5,1000.0
110.0,64,0,3,1,7,1100.0
75.0,70,1,2,0,4,1200.0
140.0,48,1,2,0,6,1200.0
92.0,45,1,2,1,4,950.0
79.0,69,0,2,0,3,1350.0
60.0,62,0,2,0,3,785.0
60.0,70,1,2,0,2,900.0
240.0,69,0,4,0,7,2000.0
40.0,69,0,1,0,1,600.0
170.0,70,1,5,0,4,2400.0
65.0,70,1,2,1,2,900.0
93.0,24,0,2,0,5,780.0
49.0,65,0,2,1,3,740.0
200.0,22,0,3,1,9,1000.0
70.0,60,0,5,0,3,850.0
130.0,15,0,3,1,5,1100.0
115.0,70,1,2,1,2,900.0
60.0,69,0,5,0,3,950.0
90.0,70,1,2,0,5,1500.0
228.0,69,1,2,0,7,2800.0
75.0,70,1,2,0,4,900.0
90.0,69,0,4,1,4,900.0
140.0,65,1,2,1,5,1400.0
250.0,69,0,5,0,5,2850.0
174.0,60,0,2,0,8,1500.0
73.0,69,0,2,0,2,750.0
55.0,31,1,2,1,3,750.0
98.0,55,1,2,1,5,970.0
98.0,55,0,2,1,5,910.0
