propertyCode,price,propertyType,size,rooms,bathrooms,latitude,longitude,description,status,priceByArea,topPlus,parking,poblacion / distrito,precio_area / distrito,codigo_distrito,codigo_tipo,piscina
103287347,33500.0,flat,48.0,2,1,37.3703961,-5.9431422,"Oportunidad para Inversores, se ofrece Piso a la venta SIN POSESIÓN, el inmueble procede de una ejecución hipotecaria y se encuentra arrendado sin posibilidad de visitar. ""PRODUCTO INDICADO SOLO PARA INVERSORES PROFESIONALES"". Inversión no recomendable a clientes finales. Características de la inversión: El inmueble ofertado no se puede visitar. Nos gustaría poder ampliarle más información, si lo desea nos puede contestar a este correo con sus datos para facilitarle los detalles, para ello debe escribirnos indicando el siguiente texto ""SOY INVERSOR PROFESIONAL Y ENTIENDO LAS CONDICIONES"". Gastos de intermediación no incluidos en el precio.",good,698.0,False,0,Sevilla / Cerro Amate,1311.310924369748,38,2,0
103287340,124500.0,flat,125.0,3,2,37.3315281,-5.9235288,"Oportunidad para Inversores, se ofrece Piso a la venta SIN POSESIÓN, el inmueble procede de una ejecución hipotecaria y se encuentra ocupado. ""PRODUCTO INDICADO SOLO PARA INVERSORES PROFESIONALES"". Inversión no recomendable a clientes finales. Características de la inversión: El inmueble ofertado no se puede visitar. Nos gustaría poder ampliarle más información, si lo desea nos puede contestar a este correo con sus datos para facilitarle los detalles, para ello debe escribirnos indicando el siguiente texto ""SOY INVERSOR PROFESIONAL Y ENTIENDO LAS CONDICIONES"". Gastos de intermediación no incluidos en el precio.",good,996.0,False,0,Montequinto / Cerros de Montequinto,2108.5,54,2,0
103285610,165000.0,flat,126.0,3,2,37.4065327,-5.9200734,"Magnífica vivienda en venta en calle Bangladesh, Sevilla Este, de 3 dormitorios y 2 baños completos. Tiene amplia plaza de garaje en el sótano del edificio. Zonas comunes cuidadas. Es vivienda de VPO hasta el año 2025 por lo que no pueden acceder a ella quienes ya tengan una vivienda en propiedad. Tiene 87 m2 útiles aprox. de vivienda y 15 m2 de garaje aprox. más zonas comunes. Muy luminosa y ubicada en la cuarta planta de edificio con 6 plantas más azotea. Vistas despejadas, orientada al suroeste. Dormitorio de matrimonio tipo suite. Actualmente uno de los dormitorios simples es usado como vestidor. 2 baños completos, uno con placa de ducha amplia y otro con bañera. Terraza muy agradable con toldo con salida desde el salón. Suministros independientes de luz, agua y gas natural. Suelos de terrazo y ventanas de aluminio. 3 Splits de aire acondicionado en salón y 2 dormitorios Se vende vacío con cocina amueblada. IBI: 124 euros semestre. Cuota de comunidad mensual: 50 euros.  Zona rodeada de todo tipo de servicios: comercios, centro comercial, supermercados, colegios, Institutos, guarderías, centro de salud, cafeterías, bus. Buena comunicación con cualquier otra zona de la ciudad y y salida a autovía. Apeadero de Renfe en Sevilla Este. Documento DIA a disposición del consumidor. Los gastos derivados de la compraventa (honorarios, impuestos, Notaría y Registro ) no están incluidos. No dude en contactar con nosotros para más información o visita.",good,1310.0,False,1,Sevilla / Sevilla este,1972.657894736842,55,2,0
103285730,150000.0,chalet,125.0,2,2,37.3823854,-6.0543533,"Block Inmobiliaria ofrece: Casa de una planta de esquina en Castilleja de la Cuesta, con una superficie de 125 m2 distribuidos en hall de entrada, salón, cocina amueblada, 2 dormitorios, baño, aseo, patio de 26 m2 y garaje de 27 m2. Parcela de 124 m2 2 split de aire acondicionado F/C Suelo de mármol Puertas de madera Chimenea Tuberías de cobre Trastero amplio Azotea Muy buena ubicación, cerca de la salida a la A-49 y del centro de salud de Castilleja.",renew,1200.0,False,1,Castilleja de la Cuesta / Castilleja de la Cuesta,1155.0,27,3,0
103285698,258000.0,chalet,193.0,4,3,37.3785191,-6.1198754,"Chalet independiente situado en Espartinas, a tan solo 800 metros de la entrada del pueblo y cercano a colegio privado, parada de bus, parques. El chalet de 193 m2 construidos y 396 m2 de parcela consta de 2 plantas. En planta baja tiene porche delantero, entrada para plaza de garaje cubierta con capacidad para dos coches, patio trasero-lateral bastante amplio, salón-comedor con chimenea, trastero en hueco de escaleras, sala de estar, 1 baño completo con placa de ducha, cocina amueblada y 1 habitación. En primera planta tiene 2 baños (uno en suite) y 3 habitaciones, 2 con armario empotrado y principal con salida a terraza. A/a centralizado. Año 2004. Ponemos a su disposición un asesor inmobiliario personalizado, para asesorarlo en la compra-venta y la financiación. Nos encargaremos de todos los trámites necesarios para que pueda comprar su vivienda de la manera más cómoda posible. Venga a La Casa Agency de Mairena del Aljarafe y acertará.",good,1337.0,False,1,Espartinas / Espartinas Pueblo,1653.6470588235295,31,7,0
103263201,299000.0,chalet,136.0,4,2,37.3733543,-6.1164204,"Chalet independiente a estrenar de 1 planta de 136 m² construidos en parcela de 573 m², cercano a la futura salida a la autovía A-49. distribuido en amplio amplio salón comedor, cocina sin amueblar, 3 ò 4 dormitorios, 2 baños, suelo de madera, ventanas oscilobatiente con rotura de puente térmico, armarios empotrados y vestidor, porche delantero y trasero, garaje en superficie, gran parcela. Posibilidad de piscina y personalizar la vivienda según las necesidades y gustos del cliente. Oportunidad única en la zona! Llámenos para ampliar información y concertar una visita con uno de nuestros comerciales. Los gastos e impuestos derivados de la Compra no están incluidos en el precio ( IVA, notaría, registros e impuestos). Disponemos de departamento Financiero.",good,2199.0,False,0,Espartinas / Espartinas Pueblo,1653.6470588235295,31,7,1
103284421,176000.0,chalet,125.0,3,3,37.2908273,-5.9010896,"En esta ocasión os traemos una magnifica casa de 125m en una barriada tranquila y familiar como es Consolación. Esta casa muy luminosa dispone de jardín, patio con lavadero, gran terraza en la 1º planta y una azotea en la 2º planta preparada para hacer tus barbacoas con amigos y familiares. Se distribuye de la siguiente manera;  En la planta baja encontramos una amplia cochera, un jardín, un gran salón - comedor con chimenea para tus noches de invierno, una cocina muy luminosa y totalmente amueblada y equipada, un aseo y un magnifico patio con lavadero. En la primera planta tenemos tres dormitorios, el principal y uno infantil equipados con armarios empotrados, un gran baño con placa de ducha y una terraza bastante amplia. En la segunda planta tiene una gran azotea con solárium, zona de barbacoa, aseo y gran trastero. Además los huecos de escalera están aprovechados con armarios empotrados, el techo del baño dispone de vigas de madera y tiene toldos tanto en el jardín como en el patio, puertas de madera y suelos de parquet en la parte de abajo y porcelánico en la de arriba. Esta lista para entrar a vivir. No lo dudes y llámanos, te la enseñamos sin compromiso.",good,1408.0,False,1,Dos Hermanas / Vista Azul - Consolación,1530.1153846153845,34,7,0
103285264,55000.0,flat,57.0,3,1,37.38325,-5.9608429,"SE VENDE PISO EN LA ZONA DE MADRE DE DIOS, A 55.000€!  El piso se trata de una CUARTA planta SIN ASCENSOR, consta de 57m2 que se distribuyen en TRES habitaciones, UN baño, salón-comedor y cocina independiente. Se encuentra en muy buen estado y SE QUEDA AMUEBLADO. Un muy buen bloque de vecinos, se paga 45€ de comunidad en la que viene incluida el agua (bloque reformado de hace poco). Se encuentra de lo más cercano a la Av. Cruz del Sur, junto a la dirección de la policía. Muy bien comunicado con varías paradas de autobús como la línea del 02 y cercano al centro comercial de Los Arcos.  ¡NO DUDES EN VENIR A VISITARLO!  Además del departamento inmobiliario, en GRUPO AMC ponemos a su disposición nuestros servicios financieros: asesoramos y facilitamos todos los trámites a seguir en la compra-venta deseada, incluyendo el estudio en distintas entidades y tramitación del crédito hipotecario si lo desea. Consiguiendo las mejores condiciones del mercado actual con nuestro departamento financiero propio y gratuito para el comprador. Ficha D. I. A. (documento informativo abreviado) a disposición del cliente. Compre con nosotros y ¡olvídese de papeleos! El precio de venta no incluye los honorarios de la agencia, gastos de notario, ITP, registro, etc. Para ampliar la información o visitar la vivienda, no dude en llamarnos o acudir nuestra oficina en Afán de Ribera Nº70, local Sevilla.",good,965.0,False,0,Sevilla / Cerro Amate,1311.310924369748,38,2,0
103285270,775000.0,chalet,380.0,5,3,37.3397442,-5.9332861,"Propiedad de 380 m² construidos en una parcela de 774 m². La vivienda se desarrolla en dos plantas, además de un semi-sótano de aproximadamente 127 m² construidos con área de almacenamiento y recreación. En la planta baja, se encuentra un vestíbulo que conduce a dos áreas distintas: un salón-comedor conectado a una amplia cocina con despensa y salida a un porche forjado, diseñado como un salón exterior que configura la zona de servicio. En el otro extremo de la planta se ubica la zona de descanso, con cuatro dormitorios y dos baños. En el nivel superior, se sitúa la suite principal con vestidor, baño privado y amplios ventanales que dan acceso a un solárium exterior con vistas destacadas. En la planta inferior, disfrutaremos de un espacio de estar y juegos conectado al aparcamiento privado. Los exteriores de la casa se distribuyen en diversos espacios, principalmente de descanso y ocio, con una zona de barbacoa y piscina. Además, cuenta con toldos que proporcionan una estancia agradable y una zona de estacionamiento exterior.  Otras características incluyen climatización frío/calor centralizado, armarios empotrados, jardín con césped natural y riego automático, pozo de la propiedad, sistema de alarma en toda la vivienda y aparcamiento interior para vehículos con acceso remoto automático. La zona de Los Cerros de Montequinto es un espacio residencial exclusivo, a pocos minutos del centro comercial de Sevilla. Se encuentra cerca de colegios internacionales y tiene excelentes comunicaciones con la ciudad y otras localizaciones a través de varias paradas de metro y autobús. También está próximo al Real Club de Golf de Sevilla e Hipódromo, y cuenta con un club social que ofrece restaurante, salón de celebraciones, piscina y pistas deportivas.",good,2039.0,False,1,Montequinto / Zona Avenida de Europa,2075.909090909091,53,5,1
103285212,348000.0,flat,206.0,5,2,37.3285755,-5.9654237,"SE VENDE MAGNÍFICO PISO EN UNA ZONA INMEJORABLE, AVENIDA JÉREZ, LA PROLONGACIÓN DE LA AVENIDA DE LA PALMERA, JUNTO AL HOSPITAL MILITAR, BARRIO DE HELIOPOLIS, ESTADIO BENITO VILLAMARÍN, ETC. MUY BUENA ZONA Y ATRACTIVA DENTRO DE LA CIUDAD DE SEVILLA, EN PLENO CRECIMIENTO. El piso cuenta con 206m2 construidos y 180m2 útiles, se distribuye en CINCO amplias habitaciones con armario empotrado, una gran cocina con independiente, salón-comedor, patio de 20m2, PLAZA DE GARAJE INCLUIDA EN EL PRECIO y TRASTERO. ¡SU PRECIO ES DE 348.000€, NO PIERDAS LA ESTA OPORTUNIDAD ÚNICA DE CONSEGUIR UNA VIVIENDA DE LUJO EN UNA ZONA DE ENSUEÑO! Además del departamento inmobiliario, en GRUPO AMC ponemos a su disposición nuestros servicios financieros: asesoramos y facilitamos todos los trámites a seguir en la compra-venta deseada, incluyendo el estudio en distintas entidades y tramitación del crédito hipotecario si lo desea. Consiguiendo las mejores condiciones del mercado actual con nuestro departamento financiero propio y gratuito para el comprador. Ficha D. I. A. (documento informativo abreviado) a disposición del cliente. Compre con nosotros y ¡olvídese de papeleos! El precio de venta no incluye los honorarios de la agencia, gastos de notario, ITP, registro, etc. Para ampliar la información o visitar la vivienda, no dude en llamarnos o acudir nuestra oficina en Afán de Ribera Nº70, local Sevilla.",good,1689.0,False,1,Sevilla / Bellavista - Jardines de Hércules,1524.5,56,2,0
