propertyCode,price,propertyType,size,rooms,bathrooms,latitude,longitude,description,status,priceByArea,parking,codigo_distrito,poblacion / distrito,precio_area / distrito,codigo_tipo,piscina,muebles
103179150,750.0,flat,80.0,3,1,37.2815106,-5.933412,"Piso de alquiler totalmente reformado con tres dormitorios en una excelente ubicación.  Amplia cocina y lavadero, ofreciendo comodidad y funcionalidad.  Incluye ascensor para facilitar el acceso a todas las plantas.  Dispone de una plaza de GARAJE para mayor comodidad y seguridad. Amueblado con gusto y atención al detalle, listo para habitar.  Estratégicamente situado junto a centros comerciales para mayor conveniencia.  Cercano a la lanzadera de metro, facilitando el transporte público.  Fácil acceso a la autovía Sevilla-Cádiz para una movilidad rápida. La zona se destaca por su atractivo y calidad de vida.  Una oportunidad única para disfrutar de un hogar moderno y bien ubicado. **CONDICIONES**: -SUPEDITADO A LA ACEPTACIÓN DEL SEGURO DE PROTECCIÓN DE PAGOS.  - No se admiten mascotas.   - Ingresos demostrables y antiguedad en la empresa mínima de un año (ó Avalista).",good,9.0,1,25,Dos Hermanas / El Arenal - La Pólvora,8.2,2,0,2
103181539,750.0,flat,55.0,1,1,37.4082245,-5.9300815,"FANTÁSTICO APARTAMENTO CON TERRAZAL, APARCAMIENTO Y PISCINA Si está interesado en visitar este inmueble, es importante que indique al Asesor Comercial la referencia: 4234-ID. Este inmueble NO admite mascotas. Se solicitará acreditación de solvencia o avalista solidario. Dispone de hall de entrada, cocina independiente amueblada con electrodomésticos, salón y dormitorio independiente separado por puertas correderas, ambos con salida a la terraza. El salón se entrega semiamueblado al igual que el dormitorio (el inquilino debe aportar sofá y cama).  El inmueble tiene una superficie aproximada de unos 55 m2 construidos y unos 50 m2 útiles, una gran terraza de 25 m2. Es amplio y luminoso.  Excelentes calidades: suelo de mármol, armario empotrado, climatización central Frío/Calor y agua caliente centralizada. El precio de la renta incluye los gastos de comunidad y plaza de garaje en superficie reservada para los propietarios en recinto cerrado. El edificio dispone de conserje y piscina en época estival.  ZONA: Zona consolidada dotada de muchas comodidades y servicios: supermercados muy cerca del edificio, gimnasios, centro comercial con cines y restauración, centros de salud, colegios internacionales (colegio alemán, escuela francesa), pequeños comercios. Además, el inmueble está muy cerca al Parque natural Infanta Elena, ideal para practicar running, pádel, tenis o simplemente para pasear. El entorno del edificio es muy agradable ya que la zona dispone de amplias zonas verdes, amplias calles y avenidas. Sin duda la mejor zona de Sevilla Este con diferencia.  TRANSPORTE: Fácil acceso a carreteras principales (A-4, A-92) y ronda de circunvalación (SE-30, SE-40). Muy bien comunicado con Aerópolis, Aeropuerto de Sevilla, Universidad Pablo Olavide y estación de trenes de Santa Justa y apeadero de Renfe C4, con comunicación a la estación de San Bernardo, campus universitario de Viapol, campus universitario de Reina mercedes y Hospital Virgen del Rocío.  Sevilla Este, también está la dotada de una amplia red de transportes urbanos de autobuses con las líneas 22-Prado de San Sebastián, 27- Plaza del Duque, B4-San Bernardo, LE- Prado de San Sebastián, con acceso al centro de la ciudad. También disponemos de varios puntos de acceso a bicis urbanas Sevici y monopatines eléctricos.",good,14.0,1,55,Sevilla / Sevilla este,10.666666666666666,2,1,2
103186432,1150.0,chalet,130.0,3,3,37.3689777,-6.0484212,"Casa en calle Cristina Hoyos Urbanizacion Olivar de Aljamar, casa semi-amueblada, para entrar a partir del 1 de diciembre, se puede ver a partir del 20 de Noviembre, plaza de garaje en subterráneo, piscina comunitaria.",good,9.0,1,29,Tomares / Aljamar,8.666666666666666,3,1,1
103185497,710.0,flat,75.0,3,1,37.4114072,-5.9711074,"¡Increíble oportunidad de adquirir un piso en Sevilla! Este inmueble se encuentra ubicado en la Avda. Pino Montano, una zona con todos los servicios básicos a su alcance, como colegios, centro deportivo y parques.  El piso cuenta con una cocina amueblada y equipada con electrodomésticos nuevos, mientras que el resto de la vivienda se encuentra sin amueblar, brindándote la posibilidad de decorarlo a tu gusto.  Consta de 3 dormitorios, siendo el dormitorio principal el único con aire acondicionado. Además, cabe destacar que no se admiten mascotas. ¡No pierdas esta oportunidad y entra a vivir de inmediato! Para alquilar este piso, se requiere presentar la última nómina y renta. El piso se encuentra en la planta 2 y no cuenta con ascensor. ¡No dejes pasar esta oportunidad y contáctanos ahora!",good,9.0,0,57,Sevilla / Macarena,10.954545454545455,2,0,0
103185376,600.0,flat,49.0,1,1,37.4065583,-5.9294211,"Apartamento muy luminoso de 49 m2 en Sevilla Este ubicado en un edificio con piscina, zonas comunes y plaza de garaje. El apartamento está en una tercera planta, es especialmente luminoso y muy funcional. Tiene una entrada, con amplio cuarto de baño con bañera y bidé, una cocina abierta al salón con todo lo necesario. El salón tiene una zona de comedor y del salón con una amplia puerta corredera se accede al dormitorio que tiene un armario empotrado grande y espacioso.  El apartamento dispone de a/c centralizado frio y calor, suelos de mármol y se entrega totalmente amueblado. La comunidad y la plaza de garaje están incluidos en el precio. La ubicación es perfecta porque está muy bien comunicada con transportes público. Si está buscando casa para alquilar en una zona tranquila de Sevilla Este, llámenos para visitarlo, merece la pena verlo, estaremos encantados de enseñárselo Esta vivienda lleva consigo un servicio de administración integral del alquiler que se les prestará a los inquilinos a través de la administradora de alquileres ALQUIRELAX S. L. Dichos servicios se prestarán al inquilino durante toda la duración del arredramiento. Esos servicios incluyen: tramitación de la adecuación del inmueble para su entrega ( limpieza, reparaciones etc. ), asesoramiento jurídico, gestión del pago del alquiler al propietario, asesoramiento en caso de que el inquilino se quiere empadronar en el domicilio objeto del alquiler, cambio de la titularidad de los suministros, luz, agua, gas etc, partes de siniestro al seguro del inquilino, gestión del arreglo de las reparaciones y averías, representación del inquilino frente al propietario, ante cualquier incidencia el inquilino no se tiene que dirigir al propietario sino a ALQUIRELAX, atención de reclamaciones, incidencias y solución de conflictos, a la finalización del contrato: gestión de la devolución de la fianza si procede y cambio de la titularidad de los suministros.",good,12.0,1,55,Sevilla / Sevilla este,10.666666666666666,2,1,2
103185390,420.0,flat,58.0,1,1,37.338861,-5.8477554,"Apartamento en Alcalá de Guadaira zona Silos, 58.00 m. de superficie, una habitación doble, un baño, propiedad en Buen estado, cocina equipada, carpintería interior de madera, suelo de gres, carpintería exterior de aluminio. Extras: agua, luz, muebles, autobuses, colegios, zonas infantiles. NO ADMITE MASCOTAS. PERSONA SOLA SOLVENTE  Alquiler: 420 € MES, comunidad incluida.",good,7.0,0,18,Alcalá de Guadaira / Centro,7.6923076923076925,2,0,1
100262110,750.0,flat,66.0,1,1,37.3818393,-6.0044076,"Hogalia ofrece ref. 14300 piso amueblado en planta baja en zona triana - san jacinto, compuesto por un dormitorio, salón, cocina amueblada y equipada con electrodomésticos, baño con placa ducha, aire acondicionado, carpinteria interior de madera, carpintería exterior de aluminio. Patio interior. Comunidad incluida en renta mensual. Exterior. Finca sin ascensor. Disponibilidad diciembre/2023.",good,11.0,0,66,Sevilla / Triana,12.945652173913043,2,0,2
103184267,1350.0,flat,86.0,2,1,37.3980075,-5.9840873,"Hogalia ofrece ref: 14722 magnífico piso a estrenar amueblado para corta duracion en zona centro-san julian, compuesto por dos dormitorios, salón-comedor, cocina equipada con electrodomésticos y baño. Carpintería exterior en climalit e interior de madera. Aire acondicionado. Finca en planta baja con ascensor. Disponibilidad inmediata. Corta duracion. Comunidad incluida en la renta mensual. Especialistas en venta y alquiler de viviendas soluciones a su medida.",good,16.0,0,69,Sevilla / Centro,13.583710407239819,2,0,2
101796907,900.0,flat,63.0,1,1,37.3898233,-5.9897088,"Inmobiliaria Portacoeli les trae este magnífico apartamento, con ubicación privilegiada en la Calle Rodríguez Marín frente a la Iglesia de San Ildefonso. Edificio y vivienda rehabilitados por completo en el año 2007. Exterior, muy luminoso, cuenta con amplio salón, baño completo, cocina equipada y dormitorio. Se encuentra actualmente alquilado, aunque se podría rescindir el contrato de alquiler próximamente si así lo desea el futuro comprador. Se encuentra en una zona privilegiada con todos los servicios cercanos (Colegios, universidades, Centros de Salud, Ocio, Deporte.. . ). Al escoger INMOBILIARIA PORTACOELI elige el trato cercano, asesoramiento profesional y buen servicio Post-Venta. No dude en contactar para solicitar más información y concertar una visita, estaremos encantados de atenderle.",good,14.0,0,69,Sevilla / Centro,13.583710407239819,2,0,1
103182268,850.0,flat,75.0,3,1,37.3754442,-6.0021813,MAGNÍFICO PISO AMUEBLADO EN LOS REMEDIOS. A escasos minutos a pie del barrio de Triana. Bien comunicado con transporte público. Reformada y con muebles a estrenar. Salón con acceso a terraza. Cocina equipada con electrodomésticos. Tres dormitorios y un baño. DISPONIBLE. Los gastos de comunidad están incluidos en el precio del alquiler. Suministros aparte. Gastos por gestión y captación del inmueble no incluidos. Más información por privado. Mejor ver.,good,11.0,0,60,Sevilla / Los Remedios,11.035087719298245,2,0,2
101437467,600.0,flat,85.0,2,1,37.3349198,-5.8426988,"PISO DE ALQUILER EN PRUEBA DE CAÑONES! DISPONIBLE PARA EL 01 DE ENERO. Vivienda situada en una de las zonas más demandadas de Alcalá de Guadaíra, con acceso a diferentes servicios como restauración, autobuses de conexión interurbana, colegios, bancos, supermercados y tiendas. Esta vivienda consta de unos 85mt aproximadamente con salón, cocina amueblada con electrodomesticos, dos amplias haitaciones y un baño completo. PERFIL ECONOMICO DEMOSTRABLE, NO ACEPTA MASCOTA! ¿Lo vas a dejar escapar? No dejes pasar esta oportunidad y ven a conocernos, nos encontramos en Calle Gutierrez de Alba, 5 Local en Alcalá de Guadaíra ¡Te esperamos!",good,7.0,0,13,Alcalá de Guadaira / Los Molinos,7.0,2,0,1
103181917,1200.0,flat,90.0,2,1,37.3705394,-5.9984606,"Los Remedios, cerca dela Portada de la Feria. Excelente y amplia vivienda amueblada y de calidades con 2 habitaciones se alquila cerca del Río. Hall de entrada. Salón comedor con ventanales y balcón terraza al exterior. LA PROPIEDAD REQUIERE PERSONA SOLA O PAREJAS Y PARA COMPARTIR TRABAJADORES PARA CONTRATOS DE TEMPORADA DE 10-11 MESES. Cocina independiente equipada y amueblada con electrodomésticos ( fuegos, lavadora, frigorífico,... ). 1 Baño completo con bañera. 2 Dormitorios con sus armarios empotrados. Aire acondicionado y calefacción centralizada. Ascensor. Suelos de mármol. Exterior y luminoso. Zona comunitaria y azotea visitable y para tender. Estupenda zona e ubicación, cerca de todo tipo de servicios alrededor y paradas de bus. NO ADMITE MASCOTAS. Mejor verlo. REFERENCIA 9940. Renta 1.200 euros mes comunidad incluida. Interesados llamar a ALQUICASA.",good,13.0,0,60,Sevilla / Los Remedios,11.035087719298245,2,0,1
103181732,750.0,flat,123.0,3,1,37.3948654,-5.9195779,TE PRESENTO ESTE ESTUPENDO PISO DE ALQUILER EN ENTREFLORES! - La vivienda está ubicada en una quinta planta con muy buenas vistas y se alquila totalmente amueblada. - Dispone de 72 m2 útiles. - Amplio salón de paso con salida a estupenda terraza. - Cocina totalmente amueblada con electrodomésticos y lavadero. - Tres dormitorios. - Un baño completo con bañera. - Plaza de garaje subterránea. No dejes escapar esta estupenda oportunidad y llamame! SON NECESARIOS INGRESOS DEMOSTRABLES PARA EL ALQUILER DE LA VIVIENDA.,good,6.0,1,55,Sevilla / Sevilla este,10.666666666666666,2,0,1
103181678,800.0,flat,76.0,2,1,37.4001494,-5.9931722,"Este piso de 76 metros cuadrados se encuentra ubicado en la calle Faustino Álvarez, próximo a la plaza de la Alameda y al Parlamento. Con dos habitaciones, un baño completo equipado, cocina también completamente amueblada hacen una propiedad ideal para entrar a vivir.  Además cuenta con extras como bomba frío/calor, muebles y trastero privativo que aseguran tu comodidad diaria.  La propiedad es muy luminosa gracias al balcón exterior del salón, además sólo hay una vivienda más en el edificio.  En su azotea transitable podrás disfrutar del hermoso clima andaluz durante todo el año mientras te relajas o socializas cómodamente sentando. Cerca encontrarás transporte público (autobuses), centros médicos, hospitales así como universidades, colegios, supermercados etc. ¡No pierdas esta gran oportunidad única!  El costo mensual no incluye gastos adicionales pero tampoco tendrás que preocuparte por pagarnos ninguna comisión. Vivienda en un segundo piso sin ascensor. ESTE ALQUILER REQUIERE DE UN SEGURO DE PROTECCION DE ALQUILER A CARGO DE LA PROPIEDAD.",good,11.0,0,69,Sevilla / Centro,13.583710407239819,2,0,1
103181643,1350.0,flat,80.0,3,1,37.3965444,-5.9878401,"Amazing 3 rooms shared flat in the city center of Seville. All brand new. Cozy, bright with nice patio to enjoy warm Sevilla evenings. Few steps from Las Setas, best students spots in Sevilla. 6 min walk from Alameda de Hercules.",good,17.0,0,69,Sevilla / Centro,13.583710407239819,2,0,1
103180835,550.0,flat,70.0,2,1,37.4004351,-6.0327839,"Bonito apartamento recién pintado de 70m². Dispone de 2 dormitorios, armarios, aire acondicionado, baño completo, luminoso salón comedor, cocina amueblada y equipada. Piso exterior y semiamueblado.  Gastos de comunidad incluidos en el precio.  Zona con todos los servicios y con salida a SE-30, A-49. Muy cerca de Isla de la Cartuja, Sevilla.",good,8.0,0,36,Camas / Camas,9.0,2,0,2
103180387,900.0,flat,81.0,3,2,37.4138444,-5.9869444,"MAGNÍFICO PISO AMUEBLADO CON TERRAZA A ESTRENAR. Vivienda luminosa, reformada. A escasos minutos a pie del Hospital Macarena y de las facultades de Odontologia, Ingeniería, Fisioterapia, etc.  Salón con acceso a terraza. Tres habitaciones, aseo y baño completo. Dispone de azotea para tender. DISPONIBLE. Los gastos de comunidad y agua están incluidos en el precio del alquiler. Luz aparte. Gastos por gestión y captación del inmueble no incluidos. Más información por privado. Mejor ver.",good,11.0,0,57,Sevilla / Macarena,10.954545454545455,2,0,2
103180109,850.0,flat,70.0,3,1,37.3754778,-6.0024573,"TOTALMENTE REFORMADO Y AMUEBLADO CON COMUNIDAD. Piso situado en los Remedios en calle muy tranquila, exterior, cuenta con un salón con acce so a una agradable terracita y aire acondicionado, cocina independiente y equipada con lavadero, un baño y tres dormitorios totalmente equipados. Zona muy tranquila muy bien comunicado. LA MENSUALIDAD ES DE 850€.",good,12.0,0,60,Sevilla / Los Remedios,11.035087719298245,2,0,2
101516096,550.0,flat,60.0,3,1,37.3592432,-6.0343054,"Piso en el corazón de san juan de Aznalfarache que consta de tres dormitorios, salón comedor y se entrega con cocina nueva con todos los electrodomésticos, se entrega recién pintado, cocina con todos los electrodomésticos nuevos, luces de bajo consumo listo para entrar a vivir, disponible el 1 de diciembre ya se puede coger cita para visitarlo, se requiere seguro de impago y documentación para el alquiler, del coste se encarga el propietario, precio de alquiler 550€ comunidad y agua incluida. Alquiler temporal de 11 meses, todo legal con fianza depositada en la junta de Andalucía, posibilidad de empadronarse Smart inmobiliaria realiza todas gestiones durante el proceso de alquiler, tratamiento de documentación para estudio de impago, se solicitan acreditación de ingresos para el seguro de impago, los ingresos no deben superar el 35% del alquiler sino nos requieren avalista, gestionamos los cambios de titularidad de todos los suministros, estamos de intermediarios durante todo el alquiler para el mantenimiento del inmueble y también estamos en la finalización de contrato y devolución e fianza, por estas gestiones se cobran 450€ mas IVA.",good,9.0,0,50,San Juan de Aznalfarache / Barrio Alto,10.0,2,0,1
103179908,880.0,flat,69.0,2,1,37.3836537,-6.00494,"Consigue ¡HASTA 1 MES GRATIS! y disfruta este otoño en tu nuevo hogar *Es condición esencial permanecer en la vivienda al menos 12 meses, de no ser así la promoción quedará sin efectos con carácter retroactivo, viniendo obligado a devolver los importes mensuales de la promoción que se haya beneficiado. ¡ALTA DE SUMINISTROS GRATIS! Disfruta de tu hogar desde el primer momento, Testa Home te acompaña en la gestión de los suministros de manera gratuita para ayudarte a ahorrar. *El alta de suministros varía en función de la Comunidad de Propietarios y de la Comunidad Autónoma en la que se encuentre, consulta con tu comercial. Vivienda sin amueblar, en perfecto estado de alquiler. Suelos de tarima flotante, armarios empotrados, puerta de seguridad blindada y aire acondicionado con frío y calor. Cocina americana amueblada y equipada con electrodomésticos de primeras marcas: frigorífico, lavadora, friegaplatos, horno, campana extractora, vitrocerámica y microondas. Baño amueblado y con mampara. Urbanización ubicada en el barrio de Triana, junto al río Guadalquivir y a escasos metros del famoso puente del Triana. Perpendicular al río está la Calle Betis, una preciosa avenida con unas increíbles vistas al Guadalquivir y al centro de Sevilla, y la Calle San Jacinto donde encontramos zonas peatonales y de ocio.  Muy cerca del Hospital Quirón Salud, centros deportivos, entidades bancarias, museos, colegios y mucho más. Líneas de autobús: C3, 40 y 43.  línea de metro: L1  SÓLO SE PIDE 1 MES DE FIANZA Y ¡SIN COMISIÓN DE AGENCIA! No pagas los gastos de comunidad durante los primeros 3 años e IBI durante los primeros 2 años Horario de atención telefónica de lunes a viernes de 9:00 a 21:00 y sábados de 9:00 a 14:00 horas.  **Las imágenes corresponden a un apartamento tipo.  **Viviendas sujetas a disponibilidad. Las promociones de bienvenida de cada edificio se aplicarán en la promoción para todas las reservas firmadas desde el 01/11/2023 y los contratos firmados hasta el 30/11/2023. A partir del 30/11/2023 la promoción puede estar sujeta a cambios en la bonificación de bienvenida. Excepto selección de viviendas de VPO. Esta promoción no es acumulable con otras campañas y promociones. *Viviendas no amuebladas.",good,13.0,0,66,Sevilla / Triana,12.945652173913043,2,0,2
103105246,800.0,flat,126.0,3,2,37.3057557,-5.9360169,"ALQUILER PISO SEMI-AMUEBLADO EN ENTRENUCLEOS Situado en la Avenida Felipe González Márquez. Urbanización con piscina y zonas comunes.  A la entrada a la vivienda encontramos un recibidor que nos conduca a su izquierda a la cocina, equipada y con lavadero. Frente al recibidor, el salón, amplio y muy luminoso con una pequeña terraza.  En el pasillo se encuentra el baño, dos habitaciones y la habitación principal con baño propio.  En el complejo residencial existen zonas de ocio para los mas pequeños y piscina comunitaria y parking en el sótano del mismo edificio.  Llámanos y le damos más información o si lo prefiere, lo visitamos.",good,6.0,1,47,Dos Hermanas / Entrenúcleos,9.88888888888889,2,1,2
96608114,650.0,chalet,140.0,3,1,37.3300962,-5.8580823,"Estupenda y amplia vivienda en 1 planta, semi-amueblada con buenas calidades de terminación, compuesta de cocina totalmente amueblada, salón con persiana automática, comedor, 3 dormitorios, 2 armarios empotrados, baño con bañera hidromasaje y ducha, lavadero, patio con toldo eléctrico, subida a la azotea visitable, aire centralizado, garaje cerrado particular para 2 coches, placa solar y termo de butano, ventanas climalit todas con mosquiteras NO SE ACEPTAN MASCOTAS NO DISPONE DE LAVADORA PERSONAS NO FUMADORAS.",good,5.0,1,3,Alcalá de Guadaira / Oromana,5.666666666666667,7,0,1
